gameNum,player,points,settlement1,,,,,,settlement2,,,,,,o,,o,,o,,o,,o,,o,,l,,l,,l,,l,,l,,l,,w,,w,,w,,w,,w,,w,,c,,c,,c,,c,,c,,c,,s,,s,,s,,s,,s,,s,O,L,W,C,S,total
1,1,5,13.89,L,5.56,C,5.56,C,11.11,L,8.33,W,5.56,O,0,,0,,0,,0,,0,,5.56,,13.89,,0,,0,,11.11,,0,,0,,0,,0,,0,,0,,8.33,,0,,0,,5.56,,5.56,,0,,0,,0,,0,,0,,0,,0,,0,,0,5.56,25,8.33,11.12,0,50.01
1,2,9,11.11,W,13.89,O,8.33,W,8.33,L,11.11,S,5.56,O,0,,13.89,,0,,0,,0,,5.56,,0,,0,,0,,8.33,,0,,0,,11.11,,0,,8.33,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,11.11,,0,19.45,8.33,19.44,0,11.11,58.33
1,3,10,11.11,S,13.89,S,2.78,W,13.89,O,8.33,S,5.56,C,0,,0,,0,,13.89,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2.78,,0,,0,,0,,0,,0,,0,,0,,0,,5.56,,11.11,,13.89,,0,,0,,8.33,,0,13.89,0,2.78,5.56,33.33,55.56
1,4,5,13.89,O,11.11,L,5.56,L,8.33,L,13.89,L,8.33,S,13.89,,0,,0,,0,,0,,0,,0,,11.11,,5.56,,8.33,,13.89,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8.33,13.89,38.89,0,0,8.33,61.11
2,1,10,13.89,W,11.11,O,8.33,O,13.89,W,8.33,L,0,2L,0,,11.11,,8.33,,0,,0,,0,,0,,0,,0,,0,,8.33,,0,,13.89,,0,,0,,13.89,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,19.44,8.33,27.78,0,0,55.55
2,2,6,11.11,C,13.89,S,8.33,O,13.89,W,8.33,L,5.56,W,0,,0,,8.33,,0,,0,,0,,0,,0,,0,,0,,8.33,,0,,0,,0,,0,,13.89,,0,,5.56,,11.11,,0,,0,,0,,0,,0,,0,,13.89,,0,,0,,0,,0,8.33,8.33,19.45,11.11,13.89,61.11
2,3,4,11.11,C,13.89,W,5.56,O,11.11,C,11.11,W,8.33,L,0,,0,,5.56,,0,,0,,0,,0,,0,,0,,0,,0,,8.33,,0,,13.89,,0,,0,,11.11,,0,,11.11,,0,,0,,11.11,,0,,0,,0,,0,,0,,0,,0,,0,5.56,8.33,25,22.22,0,61.11
2,4,9,8.33,C,11.11,W,5.56,O,13.89,L,8.33,C,5.56,S,0,,0,,5.56,,0,,0,,0,,0,,0,,0,,13.89,,0,,0,,0,,11.11,,0,,0,,0,,0,,8.33,,0,,0,,0,,8.33,,0,,0,,0,,0,,0,,0,,5.56,5.56,13.89,11.11,16.66,5.56,52.78
3,1,5,11.11,L,8.33,L,8.33,C,13.89,W,5.56,L,5.56,S,0,,0,,0,,0,,0,,0,,11.11,,8.33,,0,,0,,5.56,,0,,0,,0,,0,,13.89,,0,,0,,0,,0,,8.33,,0,,0,,0,,0,,0,,0,,0,,0,,5.56,0,25,13.89,8.33,5.56,52.78
3,2,10,11.11,W,13.89,O,8.33,C,8.33,L,11.11,W,5.56,S,0,,13.89,,0,,0,,0,,0,,0,,0,,0,,8.33,,0,,0,,11.11,,0,,0,,0,,11.11,,0,,0,,0,,8.33,,0,,0,,0,,0,,0,,0,,0,,0,,5.56,13.89,8.33,22.22,8.33,5.56,58.33
3,3,7,13.89,S,11.11,W,5.56,L,13.89,O,8.33,C,0,3G,0,,0,,0,,13.89,,0,,0,,0,,0,,5.56,,0,,0,,0,,0,,11.11,,0,,0,,0,,0,,0,,0,,0,,0,,8.33,,0,,13.89,,0,,0,,0,,0,,0,13.89,5.56,11.11,8.33,13.89,52.78
3,4,7,11.11,L,13.89,W,5.56,S,13.89,O,8.33,C,5.56,L,0,,0,,0,,13.89,,0,,0,,11.11,,0,,0,,0,,0,,5.56,,0,,13.89,,0,,0,,0,,0,,0,,0,,0,,0,,8.33,,0,,0,,0,,5.56,,0,,0,,0,13.89,16.67,13.89,8.33,5.56,58.34
4,1,7,11.11,C,13.89,L,5.56,O,13.89,S,5.56,C,0,3G,0,,0,,5.56,,0,,0,,0,,0,,13.89,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,11.11,,0,,0,,0,,5.56,,0,,0,,0,,0,,13.89,,0,,0,5.56,13.89,0,16.67,13.89,50.01
4,2,10,13.89,W,11.11,L,5.56,C,11.11,S,13.89,S,8.33,C,0,,0,,0,,0,,0,,0,,0,,11.11,,0,,0,,0,,0,,13.89,,0,,0,,0,,0,,0,,0,,0,,5.56,,0,,0,,8.33,,0,,0,,0,,11.11,,13.89,,0,0,11.11,13.89,13.89,25,63.89
4,3,9,11.11,L,8.33,C,5.56,O,8.33,W,13.89,S,8.33,W,0,,0,,5.56,,0,,0,,0,,11.11,,0,,0,,0,,0,,0,,0,,0,,0,,8.33,,0,,8.33,,0,,8.33,,0,,0,,0,,0,,0,,0,,0,,0,,13.89,,0,5.56,11.11,16.66,8.33,13.89,55.55
4,4,9,11.11,C,11.11,S,8.33,W,13.89,S,8.33,L,5.56,O,0,,0,,0,,0,,0,,5.56,,0,,0,,0,,0,,8.33,,0,,0,,0,,8.33,,0,,0,,0,,11.11,,0,,0,,0,,0,,0,,0,,11.11,,0,,13.89,,0,,0,5.56,8.33,8.33,11.11,25,58.33
5,1,8,13.89,W,11.11,S,8.33,O,13.89,S,8.33,L,0,2S,0,,0,,8.33,,0,,0,,0,,0,,0,,0,,0,,8.33,,0,,13.89,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,11.11,,0,,13.89,,0,,0,8.33,8.33,13.89,0,25,55.55
5,2,10,11.11,O,13.89,W,5.56,O,11.11,S,11.11,L,8.33,L,11.11,,0,,5.56,,0,,0,,0,,0,,0,,0,,0,,11.11,,8.33,,0,,13.89,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,11.11,,0,,0,16.67,19.44,13.89,0,11.11,61.11
5,3,3,13.89,W,8.33,C,5.56,S,11.11,L,5.56,O,0,D,0,,0,,0,,0,,5.56,,0,,0,,0,,0,,11.11,,0,,0,,13.89,,0,,0,,0,,0,,0,,0,,8.33,,0,,0,,0,,0,,0,,0,,5.56,,0,,0,,0,5.56,11.11,13.89,8.33,5.56,44.45
5,4,7,11.11,O,13.89,L,8.33,O,8.33,C,11.11,L,2.78,C,11.11,,0,,8.33,,0,,0,,0,,0,,13.89,,0,,0,,11.11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8.33,,0,,2.78,,0,,0,,0,,0,,0,,0,19.44,25,0,11.11,0,55.55
6,1,6,11.11,L,13.89,W,8.33,W,13.89,S,5.56,O,2.78,C,0,,0,,0,,0,,5.56,,0,,11.11,,0,,0,,0,,0,,0,,0,,13.89,,8.33,,0,,0,,0,,0,,0,,0,,0,,0,,2.78,,0,,0,,0,,13.89,,0,,0,5.56,11.11,22.22,2.78,13.89,55.56
6,2,6,11.11,L,13.89,S,5.56,W,13.89,O,8.33,C,0,3G,0,,0,,0,,13.89,,0,,0,,11.11,,0,,0,,0,,0,,0,,0,,0,,5.56,,0,,0,,0,,0,,0,,0,,0,,8.33,,0,,0,,13.89,,0,,0,,0,,0,13.89,11.11,5.56,8.33,13.89,52.78
6,3,6,13.89,S,11.11,S,8.33,W,8.33,L,11.11,C,5.56,W,0,,0,,0,,0,,0,,0,,0,,0,,0,,8.33,,0,,0,,0,,0,,8.33,,0,,0,,5.56,,0,,0,,0,,0,,11.11,,0,,13.89,,11.11,,0,,0,,0,,0,0,8.33,13.89,11.11,25,58.33
6,4,10,11.11,W,11.11,C,8.33,C,13.89,S,8.33,L,5.56,O,0,,0,,0,,0,,0,,5.56,,0,,0,,0,,0,,8.33,,0,,11.11,,0,,0,,0,,0,,0,,0,,11.11,,8.33,,0,,0,,0,,0,,0,,0,,13.89,,0,,0,5.56,8.33,11.11,19.44,13.89,58.33
7,1,10,11.11,C,13.89,C,8.33,W,11.11,L,8.33,S,5.56,W,0,,0,,0,,0,,0,,0,,0,,0,,0,,11.11,,0,,0,,0,,0,,8.33,,0,,0,,5.56,,11.11,,13.89,,0,,0,,0,,0,,0,,0,,0,,0,,8.33,,0,0,11.11,13.89,25,8.33,58.33
7,2,6,8.33,O,11.11,C,5.56,W,13.89,S,11.11,L,5.56,W,8.33,,0,,0,,0,,0,,0,,0,,0,,0,,0,,11.11,,0,,0,,0,,5.56,,0,,0,,5.56,,0,,11.11,,0,,0,,0,,0,,0,,0,,0,,13.89,,0,,0,8.33,11.11,11.12,11.11,13.89,55.56
7,3,4,11.11,C,13.89,S,11.11,W,13.89,O,8.33,O,5.56,W,0,,0,,0,,13.89,,8.33,,0,,0,,0,,0,,0,,0,,0,,0,,0,,11.11,,0,,0,,5.56,,11.11,,0,,0,,0,,0,,0,,0,,13.89,,0,,0,,0,,0,22.22,0,16.67,11.11,13.89,63.89
7,4,4,13.89,S,5.56,W,5.56,L,11.11,S,13.89,O,8.33,S,0,,0,,0,,0,,13.89,,0,,0,,0,,5.56,,0,,0,,0,,0,,5.56,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,13.89,,0,,0,,11.11,,0,,8.33,13.89,5.56,5.56,0,33.33,58.34
8,1,8,8.33,L,13.89,C,11.11,W,13.89,O,8.33,L,5.56,S,0,,0,,0,,13.89,,0,,0,,8.33,,0,,0,,0,,8.33,,0,,0,,0,,11.11,,0,,0,,0,,0,,13.89,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5.56,13.89,16.66,11.11,13.89,5.56,61.11
8,2,11,11.11,O,13.89,S,11.11,W,8.33,L,11.11,O,5.56,S,11.11,,0,,0,,0,,11.11,,0,,0,,0,,0,,8.33,,0,,0,,0,,0,,11.11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,13.89,,0,,0,,0,,5.56,22.22,8.33,11.11,0,19.45,61.11
8,3,7,11.11,O,13.89,O,8.33,W,8.33,C,5.56,L,0,2O,11.11,,13.89,,0,,0,,0,,0,,0,,0,,0,,0,,5.56,,0,,0,,0,,8.33,,0,,0,,0,,0,,0,,0,,8.33,,0,,0,,0,,0,,0,,0,,0,,0,25,5.56,8.33,8.33,0,47.22
8,4,6,11.11,O,11.11,W,8.33,S,13.89,W,8.33,C,5.56,L,11.11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5.56,,0,,11.11,,0,,13.89,,0,,0,,0,,0,,0,,0,,8.33,,0,,0,,0,,8.33,,0,,0,,0,11.11,5.56,25,8.33,8.33,58.33
