gameNum,player,points,s1v1,s1r1,s1v2,s1r2,s1v3,s1r3,s1tot,s2v1,s2r1,s2v2,s2r2,s2v3,s2r3,set2tot
1,1,5,6,0.295,3,0.3233,11,0.3233,1,9,0.295,10,0.3675,11,0.3233,1
1,2,9,5,0.3675,8,0.3233,10,0.3675,1,4,0.295,5,0.31,11,0.3233,1
1,3,10,5,0.31,6,0.31,12,0.3675,1,8,0.3233,4,0.31,3,0.3233,1
1,4,5,6,0.3233,9,0.295,3,0.295,1,4,0.295,8,0.295,10,0.31,1
2,1,10,6,0.3675,9,0.3233,10,0.3233,1,8,0.3675,10,0.295,0,20.295,1
2,2,6,5,0.3233,8,0.31,10,0.3233,1,8,0.3675,4,0.295,3,0.3675,1
2,3,4,5,0.3233,6,0.3675,11,0.3233,1,5,0.3233,9,0.3675,10,0.295,1
2,4,9,4,0.3233,9,0.3675,11,0.3233,1,6,0.295,4,0.3233,3,0.31,1
3,1,5,5,0.295,4,0.295,10,0.3233,1,6,0.3675,3,0.295,11,0.31,1
3,2,10,5,0.3675,8,0.3233,10,0.3233,1,4,0.295,9,0.3675,11,0.31,1
3,3,7,6,0.31,9,0.3675,3,0.295,1,8,0.3233,10,0.3233,0,0,1
3,4,7,5,0.295,6,0.3675,11,0.31,1,8,0.3233,4,0.3233,3,0.295,1
4,1,7,5,0.3233,6,0.295,11,0.3233,1,8,0.31,3,0.3233,0,0,1
4,2,10,6,0.3675,9,0.295,3,0.3233,1,5,0.31,8,0.31,10,0.3233,1
4,3,9,9,0.295,10,0.3233,11,0.3233,1,4,0.3675,8,0.31,10,0.3675,1
4,4,9,5,0.3233,9,0.31,10,0.3675,1,8,0.31,4,0.295,3,0.3233,1
5,1,8,6,0.3675,9,0.31,10,0.3233,1,8,0.31,10,0.295,0,0.31,1
5,2,10,5,0.3233,6,0.3675,11,0.3233,1,5,0.31,9,0.295,10,0.295,1
5,3,3,6,0.3675,4,0.3233,3,0.31,1,9,0.295,11,0.3233,0,0,1
5,4,7,5,0.3233,8,0.295,10,0.3233,1,4,0.3233,9,0.295,2,0.3233,1
6,1,6,5,0.295,8,0.3675,10,0.3675,1,6,0.31,3,0.3233,12,0.3233,1
6,2,6,5,0.295,6,0.31,11,0.3675,1,8,0.3233,10,0.3233,0,0,1
6,3,6,6,0.31,9,0.31,10,0.3675,1,4,0.295,9,0.3233,11,0.3675,1
6,4,10,5,0.3675,9,0.3233,10,0.3233,1,6,0.31,4,0.295,3,0.3233,1
7,1,10,5,0.3233,8,0.3233,10,0.3675,1,9,0.295,10,0.31,11,0.3675,1
7,2,6,4,0.3233,5,0.3233,11,0.3675,1,6,0.31,9,0.295,3,0.3675,1
7,3,4,5,0.3233,6,0.31,9,0.3675,1,8,0.3233,4,0.3233,3,0.3675,1
7,4,4,6,0.31,3,0.3675,11,0.295,1,5,0.31,8,0.3233,10,0.31,1
8,1,8,4,0.295,6,0.3233,9,0.3675,1,8,0.3233,4,0.295,3,0.31,1
8,2,11,5,0.3233,6,0.31,9,0.3675,1,4,0.295,5,0.3233,11,0.31,1
8,3,7,5,0.3233,8,0.3233,10,0.3675,1,4,0.3233,11,0.295,0,0.3233,1
8,4,6,5,0.3233,9,0.3675,10,0.31,1,8,0.3675,4,0.3233,3,0.295,1
9,1,6,8,0.3233,4,0.295,3,0.3675,1,5,0.3675,10,0.295,0,0,1
9,2,9,4,0.3233,8,0.295,10,0.31,1,6,0.3233,4,0.295,11,0.3233,1
9,3,9,6,0.31,9,0.295,3,0.3675,1,5,0.3233,9,0.3233,10,0.31,1
9,4,10,5,0.3233,6,0.3233,11,0.31,1,9,0.295,10,0.295,2,0.3675,1
10,1,9,5,0.3675,8,0.3233,10,0.31,1,4,0.31,9,0.295,11,0.295,1
10,2,9,6,0.3233,9,0.295,2,0.3233,1,6,0.3233,9,0.3675,12,0.3675,1
10,3,10,6,0.3233,4,0.31,3,0.31,1,5,0.3675,6,0.3233,11,0.295,1
10,4,9,5,0.3233,9,0.295,10,0.295,1,8,0.3233,4,0.3675,3,0.31,1
11,1,6,5,0.3233,8,0.3675,10,0.295,1,4,0.31,9,0.3233,11,0.31,1
11,2,5,6,0.3675,3,0.31,11,0.3233,1,8,0.3675,4,0.3233,3,0.31,1
11,3,10,6,0.295,9,0.3233,3,0.295,1,5,0.3233,9,0.3675,10,0.31,1
11,4,5,4,0.31,8,0.3675,10,0.31,1,9,0.3233,10,0.295,2,0.3233,1
12,1,5,6,0.3233,3,0.3233,11,0.295,1,3,0.3233,10,0.3233,11,0.3233,1
12,2,6,5,0.31,9,0.295,10,0.3233,1,9,0.3675,10,0.3233,2,0.31,1
12,3,6,5,0.3233,8,0.3675,10,0.3233,1,6,0.295,9,0.3675,3,0.3675,1
12,4,10,4,0.31,8,0.3675,10,0.3233,1,5,0.31,6,0.3233,11,0.3233,1
13,1,6,5,0.3233,8,0.31,10,0.3675,1,3,0.295,4,0.3233,11,0.31,1
13,2,6,6,0.3675,4,0.295,3,0.3233,1,8,0.3675,4,0.3233,0,0,1
13,3,3,6,0.31,9,0.3675,10,0.3675,1,3,0.295,11,0.3233,0,0,1
13,4,10,5,0.295,9,0.295,10,0.3233,1,8,0.3675,10,0.3233,11,0.3233,1
14,1,4,5,0.3233,8,0.3675,10,0.3233,1,6,0.3233,3,0.3675,11,0.3233,1
14,2,10,5,0.295,6,0.3233,11,0.31,1,9,0.3675,10,0.3233,2,0.3233,1
14,3,5,6,0.31,9,0.3675,3,0.295,1,8,0.3675,4,0.295,3,0.3675,1
14,4,8,5,0.295,9,0.295,10,0.3233,1,4,0.31,8,0.31,10,0.3233,1
15,1,9,8,0.3675,4,0.3233,3,0.295,1,4,0.3233,9,0.3675,11,0.295,1
15,2,8,5,0.295,8,0.3675,10,0.31,1,8,0.3233,4,0.3233,3,0.31,1
15,3,6,5,0.3233,9,0.31,10,0.3675,1,6,0.3233,2,0.3675,0,0.3233,1
