gameNum,player,points,won,s1v1,s1r1,s1tile1,s1v2,s1r2,s1tile2,s1v3,s1r3,s1tile3,s1tot,s2v1,s2r1,s2tile1,s2v2,s2r2,s2tile2,s2v3,s2r3,s2tile3,s2tot,stot
1,1,5,0,13.89,0.295,4.09755,5.56,0.3233,1.797548,5.56,0.3233,1.797548,7.692646,11.11,0.295,3.27745,8.33,0.3675,3.061275,5.56,0.3233,1.797548,8.136273,15.828919
1,2,9,0,11.11,0.3675,4.082925,13.89,0.3233,4.490637,8.33,0.3675,3.061275,11.634837,8.33,0.295,2.45735,11.11,0.31,3.4441,5.56,0.3233,1.797548,7.698998,19.333835
1,3,10,1,11.11,0.31,3.4441,13.89,0.31,4.3059,2.78,0.3675,1.02165,8.77165,13.89,0.3233,4.490637,8.33,0.31,2.5823,5.56,0.3233,1.797548,8.870485,17.642135
1,4,5,0,13.89,0.3233,4.490637,11.11,0.295,3.27745,5.56,0.295,1.6402,9.408287,8.33,0.295,2.45735,13.89,0.295,4.09755,8.33,0.31,2.5823,9.1372,18.545487
2,1,10,1,13.89,0.3675,5.104575,11.11,0.3233,3.591863,8.33,0.3233,2.693089,11.389527,13.89,0.3675,5.104575,8.33,0.295,2.45735,0,20.295,0,7.561925,18.951452
2,2,6,0,11.11,0.3233,3.591863,13.89,0.31,4.3059,8.33,0.3233,2.693089,10.590852,13.89,0.3675,5.104575,8.33,0.295,2.45735,5.56,0.3675,2.0433,9.605225,20.196077
2,3,4,0,11.11,0.3233,3.591863,13.89,0.3675,5.104575,5.56,0.3233,1.797548,10.493986,11.11,0.3233,3.591863,11.11,0.3675,4.082925,8.33,0.295,2.45735,10.132138,20.626124
2,4,9,0,8.33,0.3233,2.693089,11.11,0.3675,4.082925,5.56,0.3233,1.797548,8.573562,13.89,0.295,4.09755,8.33,0.3233,2.693089,5.56,0.31,1.7236,8.514239,17.087801
3,1,5,0,11.11,0.295,3.27745,8.33,0.295,2.45735,8.33,0.3233,2.693089,8.427889,13.89,0.3675,5.104575,5.56,0.295,1.6402,5.56,0.31,1.7236,8.468375,16.896264
3,2,10,1,11.11,0.3675,4.082925,13.89,0.3233,4.490637,8.33,0.3233,2.693089,11.266651,8.33,0.295,2.45735,11.11,0.3675,4.082925,5.56,0.31,1.7236,8.263875,19.530526
3,3,7,0,13.89,0.31,4.3059,11.11,0.3675,4.082925,5.56,0.295,1.6402,10.029025,13.89,0.3233,4.490637,8.33,0.3233,2.693089,0,0,0,7.183726,17.212751
3,4,7,0,11.11,0.295,3.27745,13.89,0.3675,5.104575,5.56,0.31,1.7236,10.105625,13.89,0.3233,4.490637,8.33,0.3233,2.693089,5.56,0.295,1.6402,8.823926,18.929551
4,1,7,0,11.11,0.3233,3.591863,13.89,0.295,4.09755,5.56,0.3233,1.797548,9.486961,13.89,0.31,4.3059,5.56,0.3233,1.797548,0,0,0,6.103448,15.590409
4,2,10,1,13.89,0.3675,5.104575,11.11,0.295,3.27745,5.56,0.3233,1.797548,10.179573,11.11,0.31,3.4441,13.89,0.31,4.3059,8.33,0.3233,2.693089,10.443089,20.622662
4,3,9,0,11.11,0.295,3.27745,8.33,0.3233,2.693089,5.56,0.3233,1.797548,7.768087,8.33,0.3675,3.061275,13.89,0.31,4.3059,8.33,0.3675,3.061275,10.42845,18.196537
4,4,9,0,11.11,0.3233,3.591863,11.11,0.31,3.4441,8.33,0.3675,3.061275,10.097238,13.89,0.31,4.3059,8.33,0.295,2.45735,5.56,0.3233,1.797548,8.560798,18.658036
5,1,8,0,13.89,0.3675,5.104575,11.11,0.31,3.4441,8.33,0.3233,2.693089,11.241764,13.89,0.31,4.3059,8.33,0.295,2.45735,0,0.31,0,6.76325,18.005014
5,2,10,1,11.11,0.3233,3.591863,13.89,0.3675,5.104575,5.56,0.3233,1.797548,10.493986,11.11,0.31,3.4441,11.11,0.295,3.27745,8.33,0.295,2.45735,9.1789,19.672886
5,3,3,0,13.89,0.3675,5.104575,8.33,0.3233,2.693089,5.56,0.31,1.7236,9.521264,11.11,0.295,3.27745,5.56,0.3233,1.797548,0,0,0,5.074998,14.596262
