gameNum,player,points,s1v1,s1r1,s1v2,s1r2,s1v3,s1r3,s1tot,s2v1,s2r1,s2v2,s2r2,s2v3,s2r3,s2tot,stot
1,1,5,13.89,0.295,5.56,0.3233,5.56,0.3233,7.692646,11.11,0.295,8.33,0.3675,5.56,0.3233,8.136273,15.828919
1,2,9,11.11,0.3675,13.89,0.3233,8.33,0.3675,11.634837,8.33,0.295,11.11,0.31,5.56,0.3233,7.698998,19.333835
1,3,10,11.11,0.31,13.89,0.31,2.78,0.3675,8.77165,13.89,0.3233,8.33,0.31,5.56,0.3233,8.870485,17.642135
1,4,5,13.89,0.3233,11.11,0.295,5.56,0.295,9.408287,8.33,0.295,13.89,0.295,8.33,0.31,9.1372,18.545487
2,1,10,13.89,0.3675,11.11,0.3233,8.33,0.3233,11.389527,13.89,0.3675,8.33,0.295,0,20.295,7.561925,18.951452
2,2,6,11.11,0.3233,13.89,0.31,8.33,0.3233,10.590852,13.89,0.3675,8.33,0.295,5.56,0.3675,9.605225,20.196077
2,3,4,11.11,0.3233,13.89,0.3675,5.56,0.3233,10.493986,11.11,0.3233,11.11,0.3675,8.33,0.295,10.132138,20.626124
2,4,9,8.33,0.3233,11.11,0.3675,5.56,0.3233,8.573562,13.89,0.295,8.33,0.3233,5.56,0.31,8.514239,17.087801
3,1,5,11.11,0.295,8.33,0.295,8.33,0.3233,8.427889,13.89,0.3675,5.56,0.295,5.56,0.31,8.468375,16.896264
3,2,10,11.11,0.3675,13.89,0.3233,8.33,0.3233,11.266651,8.33,0.295,11.11,0.3675,5.56,0.31,8.263875,19.530526
3,3,7,13.89,0.31,11.11,0.3675,5.56,0.295,10.029025,13.89,0.3233,8.33,0.3233,0,0,7.183726,17.212751
3,4,7,11.11,0.295,13.89,0.3675,5.56,0.31,10.105625,13.89,0.3233,8.33,0.3233,5.56,0.295,8.823926,18.929551
4,1,7,11.11,0.3233,13.89,0.295,5.56,0.3233,9.486961,13.89,0.31,5.56,0.3233,0,0,6.103448,15.590409
4,2,10,13.89,0.3675,11.11,0.295,5.56,0.3233,10.179573,11.11,0.31,13.89,0.31,8.33,0.3233,10.443089,20.622662
4,3,9,11.11,0.295,8.33,0.3233,5.56,0.3233,7.768087,8.33,0.3675,13.89,0.31,8.33,0.3675,10.42845,18.196537
4,4,9,11.11,0.3233,11.11,0.31,8.33,0.3675,10.097238,13.89,0.31,8.33,0.295,5.56,0.3233,8.560798,18.658036
5,1,8,13.89,0.3675,11.11,0.31,8.33,0.3233,11.241764,13.89,0.31,8.33,0.295,0,0.31,6.76325,18.005014
5,2,10,11.11,0.3233,13.89,0.3675,5.56,0.3233,10.493986,11.11,0.31,11.11,0.295,8.33,0.295,9.1789,19.672886
5,3,3,13.89,0.3675,8.33,0.3233,5.56,0.31,9.521264,11.11,0.295,5.56,0.3233,0,0,5.074998,14.596262
5,4,7,11.11,0.3233,13.89,0.295,8.33,0.3233,10.382502,8.33,0.3233,11.11,0.295,2.78,0.3233,6.869313,17.251815
6,1,6,11.11,0.295,13.89,0.3675,8.33,0.3675,11.4433,13.89,0.31,5.56,0.3233,2.78,0.3233,7.002222,18.445522
6,2,6,11.11,0.295,13.89,0.31,5.56,0.3675,9.62665,13.89,0.3233,8.33,0.3233,0,0,7.183726,16.810376
6,3,6,13.89,0.31,11.11,0.31,8.33,0.3675,10.811275,8.33,0.295,11.11,0.3233,5.56,0.3675,8.092513,18.903788
6,4,10,11.11,0.3675,11.11,0.3233,8.33,0.3233,10.367877,13.89,0.31,8.33,0.295,5.56,0.3233,8.560798,18.928675
7,1,10,11.11,0.3233,13.89,0.3233,8.33,0.3675,11.143775,11.11,0.295,8.33,0.31,5.56,0.3675,7.90305,19.046825
7,2,6,8.33,0.3233,11.11,0.3233,5.56,0.3675,8.328252,13.89,0.31,11.11,0.295,5.56,0.3675,9.62665,17.954902
7,3,4,11.11,0.3233,13.89,0.31,11.11,0.3675,11.980688,13.89,0.3233,8.33,0.3233,5.56,0.3675,9.227026,21.207714
7,4,4,13.89,0.31,5.56,0.3675,5.56,0.295,7.9894,11.11,0.31,13.89,0.3233,8.33,0.31,10.517037,18.506437
8,1,8,8.33,0.295,13.89,0.3233,11.11,0.3675,11.030912,13.89,0.3233,8.33,0.295,5.56,0.31,8.671587,19.702499
8,2,11,11.11,0.3233,13.89,0.31,11.11,0.3675,11.980688,8.33,0.295,11.11,0.3233,5.56,0.31,7.772813,19.753501
8,3,7,11.11,0.3233,13.89,0.3233,8.33,0.3675,11.143775,8.33,0.3233,5.56,0.295,0,0.3233,4.333289,15.477064
8,4,6,11.11,0.3233,11.11,0.3675,8.33,0.31,10.257088,13.89,0.3675,8.33,0.3233,5.56,0.295,9.437864,19.694952
9,1,6,13.89,0.3233,8.33,0.295,5.56,0.3675,8.991287,11.11,0.3675,8.33,0.295,0,0,6.540275,15.531562
9,2,9,8.33,0.3233,13.89,0.295,8.33,0.31,9.372939,13.89,0.3233,8.33,0.295,5.56,0.3233,8.745535,18.118474
9,3,9,13.89,0.31,11.11,0.295,5.56,0.3675,9.62665,11.11,0.3233,11.11,0.3233,8.33,0.31,9.766026,19.392676
9,4,10,11.11,0.3233,13.89,0.3233,5.56,0.31,9.8061,11.11,0.295,8.33,0.295,2.78,0.3675,6.75645,16.56255
10,1,9,11.11,0.3675,13.89,0.3233,8.33,0.31,11.155862,8.33,0.31,11.11,0.295,5.56,0.295,7.49995,18.655812
10,2,9,13.89,0.3233,11.11,0.295,2.78,0.3233,8.666861,13.89,0.3233,11.11,0.3675,2.78,0.3675,9.595212,18.262073
10,3,10,13.89,0.3233,8.33,0.31,5.56,0.31,8.796537,11.11,0.3675,13.89,0.3233,5.56,0.295,10.213762,19.010299
10,4,9,11.11,0.3233,11.11,0.295,8.33,0.295,9.326663,13.89,0.3233,8.33,0.3675,5.56,0.31,9.275512,18.602175
11,1,6,11.11,0.3233,13.89,0.3675,8.33,0.295,11.153788,8.33,0.31,11.11,0.3233,5.56,0.31,7.897763,19.051551
11,2,5,13.89,0.3675,5.56,0.31,5.56,0.3233,8.625723,13.89,0.3675,8.33,0.3233,5.56,0.31,9.521264,18.146987
11,3,10,13.89,0.295,11.11,0.3233,5.56,0.295,9.329613,11.11,0.3233,11.11,0.3675,8.33,0.31,10.257088,19.586701
11,4,5,8.33,0.31,13.89,0.3675,8.33,0.31,10.269175,11.11,0.3233,8.33,0.295,2.78,0.3233,6.947987,17.217162
12,1,5,13.89,0.3233,5.56,0.3233,5.56,0.295,7.928385,5.56,0.3233,8.33,0.3233,5.56,0.3233,6.288185,14.21657
12,2,6,11.11,0.31,11.11,0.295,8.33,0.3233,9.414639,11.11,0.3675,8.33,0.3233,2.78,0.31,7.637814,17.052453
12,3,6,11.11,0.3233,13.89,0.3675,8.33,0.3233,11.389527,13.89,0.295,11.11,0.3675,5.56,0.3675,10.223775,21.613302
12,4,10,8.33,0.31,13.89,0.3675,8.33,0.3233,10.379964,11.11,0.31,13.89,0.3233,5.56,0.3233,9.732285,20.112249
13,1,6,11.11,0.3233,13.89,0.31,8.33,0.3675,10.959038,5.56,0.295,8.33,0.3233,5.56,0.31,6.056889,17.015927
13,2,6,13.89,0.3675,8.33,0.295,5.56,0.3233,9.359473,13.89,0.3675,8.33,0.3233,0,0,7.797664,17.157137
13,3,3,13.89,0.31,11.11,0.3675,8.33,0.3675,11.4501,5.56,0.295,5.56,0.3233,0,0,3.437748,14.887848
13,4,10,11.11,0.295,11.11,0.295,8.33,0.3233,9.247989,13.89,0.3675,8.33,0.3233,5.56,0.3233,9.595212,18.843201
14,1,4,11.11,0.3233,13.89,0.3675,8.33,0.3233,11.389527,13.89,0.3233,5.56,0.3675,5.56,0.3233,8.331485,19.721012
14,2,10,11.11,0.295,13.89,0.3233,5.56,0.31,9.491687,11.11,0.3675,8.33,0.3233,2.78,0.3233,7.674788,17.166475
14,3,5,13.89,0.31,11.11,0.3675,5.56,0.295,10.029025,13.89,0.3675,8.33,0.295,5.56,0.3675,9.605225,19.63425
14,4,8,11.11,0.295,11.11,0.295,8.33,0.3233,9.247989,8.33,0.31,13.89,0.31,8.33,0.3233,9.581289,18.829278
15,1,9,13.89,0.3675,8.33,0.3233,5.56,0.295,9.437864,8.33,0.3233,11.11,0.3675,5.56,0.295,8.416214,17.854078
15,2,8,11.11,0.295,13.89,0.3675,8.33,0.31,10.964325,13.89,0.3233,8.33,0.3233,5.56,0.31,8.907326,19.871651
15,3,6,11.11,0.3233,11.11,0.31,8.33,0.3675,10.097238,13.89,0.3233,2.78,0.3675,0,0.3233,5.512287,15.609525
15,4,10,13.89,0.3233,11.11,0.3675,5.56,0.31,10.297162,11.11,0.3233,13.89,0.31,5.56,0.295,9.537963,19.835125
16,1,7,11.11,0.31,13.89,0.295,11.11,0.3675,11.624575,13.89,0.3675,8.33,0.3233,0,0,7.797664,19.422239
16,2,10,11.11,0.31,13.89,0.3233,8.33,0.295,10.392087,13.89,0.295,5.56,0.3675,5.56,0.3233,7.938398,18.330485
16,3,7,11.11,0.3233,11.11,0.3233,8.33,0.3233,9.876815,13.89,0.295,5.56,0.31,2.78,0.31,6.68295,16.559765
16,4,7,13.89,0.3675,8.33,0.31,5.56,0.3675,9.730175,8.33,0.295,13.89,0.3233,11.11,0.3233,10.53985,20.270025
17,1,6,8.33,0.31,13.89,0.3233,5.56,0.3233,8.870485,13.89,0.3675,2.78,0.3675,0,0.3675,6.126225,14.99671
17,2,7,11.11,0.3675,13.89,0.3233,5.56,0.295,10.213762,11.11,0.31,8.33,0.3233,2.78,0.3675,7.158839,17.372601
17,3,5,8.33,0.31,13.89,0.295,8.33,0.3675,9.741125,13.89,0.3675,11.11,0.3233,5.56,0.3233,10.493986,20.235111
17,4,10,11.11,0.3675,11.11,0.31,8.33,0.3675,10.5883,11.11,0.3233,8.33,0.3233,5.56,0.295,7.925152,18.513452
18,1,6,8.33,0.3675,13.89,0.31,8.33,0.3233,10.060264,11.11,0.31,8.33,0.3233,2.78,0.3233,7.035963,17.096227
18,2,9,11.11,0.3233,13.89,0.3233,8.33,0.3233,10.775589,13.89,0.31,5.56,0.3675,5.56,0.295,7.9894,18.764989
18,3,6,13.89,0.3233,8.33,0.3675,0,0.31,7.551912,11.11,0.295,13.89,0.31,2.78,0.31,8.44515,15.997062
18,4,10,13.89,0.295,11.11,0.31,5.56,0.3675,9.58495,11.11,0.295,11.11,0.3233,8.33,0.3233,9.562402,19.147352
19,1,10,11.11,0.3233,11.11,0.3675,8.33,0.3675,10.736063,5.56,0.3233,8.33,0.295,5.56,0.3233,6.052446,16.788509
19,2,4,11.11,0.3233,13.89,0.31,8.33,0.295,10.355113,8.33,0.31,11.11,0.3675,5.56,0.3233,8.462773,18.817886
19,3,5,13.89,0.295,11.11,0.3675,5.56,0.3233,9.978023,13.89,0.31,8.33,0.295,5.56,0.3233,8.560798,18.538821
19,4,8,8.33,0.31,13.89,0.3675,8.33,0.3675,10.74815,11.11,0.3233,13.89,0.31,5.56,0.3233,9.695311,20.443461
20,1,6,8.33,0.3675,13.89,0.31,8.33,0.3233,10.060264,5.56,0.3675,8.33,0.295,5.56,0.31,6.22425,16.284514
20,2,10,13.89,0.295,11.11,0.3233,5.56,0.3233,9.486961,11.11,0.3675,13.89,0.31,5.56,0.31,10.112425,19.599386
20,3,7,13.89,0.295,8.33,0.3233,5.56,0.3675,8.833939,11.11,0.3233,8.33,0.295,2.78,0.3233,6.947987,15.781926
20,4,6,11.11,0.3675,13.89,0.295,8.33,0.295,10.637825,11.11,0.3675,11.11,0.3233,8.33,0.3233,10.367877,21.005702
21,1,8,11.11,0.3675,11.11,0.3233,8.33,0.3675,10.736063,5.56,0.31,11.11,0.3233,5.56,0.3233,7.113011,17.849074
21,2,7,13.89,0.295,8.33,0.295,5.56,0.31,8.2785,13.89,0.3233,2.78,0.31,0,0,5.352437,13.630937
